年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢
ECP平板3枚とコーナー板1枚を玉掛け揚重作業中に地上15m付近で荷崩れし落下、玉掛けしていた3名の内、2名が被災した。",建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,30～49人,その他の装置等,用具,玉掛用具,飛来、落下,42
30,5,11～12,食堂棟改修工事で、天井の換気ダクト撤去作業中、既設鋼材上に敷いていた鋼製足場板の掛かりが浅くズレ落ち、足場板上で作業を行っていた被災者が高さ約3mからコンクリート床面に墜落し負傷した。,建設業,建築工事業,その他の建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,37
30,5,10～11,"調査地点にボーリングマシンを設置後、ボールングロッドを接続して地下部に降ろすため、受傷者がボーリングマシンに上り、ロッドを接続しようとした。
そのときに体のバランスを崩して落ちそうになったため、高さ約1.3mから飛び降りた際に、地上に右足を強打して受傷した。",建設業,土木工事業,その他の土木工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,激突,69
30,5,9～10,スーパーのショーケースの前でショーケース上に置かれていた木製内装物を片付けようとして、脚立の3段目に登り対象物を両手で降ろす際にバランスを崩し約90㎝下の床に転落し頭部を強打した。,建設業,建築工事業,その他の建築工事業,1～9人,その他の装置等,用具,はしご等,墜落、転落,66
30,5,9～10,"物置解体中の木の骨組みに打ち付けてあった釘を取っていた。
物置内部についていた棚の上に乗り作業をしていたところ、木の骨組みに打ち付けてあったトタンを外しているときに棚も外れ、棚も本人も落下した。",建設業,建築工事業,その他の建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落,44
30,5,9～10,外装塗装工事で作業を行うため、脚立と金ネジを持ち作業付近にあった材木を跨ごうとしたところ、バランスを崩し転倒、右足くるぶしと左手上腕を打撲並びに右手中指に切り傷を負った。,建設業,建築工事業,その他の建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,40
30,5,20～21,船内にてトレーラーの誘導中、散乱したコンテナの受け角を整理しようと屈んでいたところ、後退してきたトレーラーコンテナ前部左側と柱の間に挟まれ死亡した。,建設業,その他の建設業,機械器具設置工事業,100～299人,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ,39
30,5,14～15,"倉庫内で、半導体機械解体作業中に、附属部品の液体が入ったタンクに繋がるホースを切断した際、ホースから液体が漏れ出し患部に付着した。
すぐに洗い流したが時間の経過とともに痒みが発生し、腫れて皮膚もただれた。",建設業,その他の建設業,機械器具設置工事業,1～9人,物質、材料,危険物、有害物等,有害物,有害物等との接触,52
30,5,15～16,"3階精製室にて温度分布測定用熱電対の設置場所を確認のとき、3Fフロア上より見にくいため、フレームをよじ登り確認しようとした。
4段目のフレームに手を掛けたが手が滑りそのまま両手が離れて東側の壁に埋め込まれている分煙盤にぶつかり転落し、右手首骨折、右足かかと部骨折をした。",建設業,建築工事業,その他の建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,24
30,5,15～16,コンテナ室の天井（高さ約3m）にある一つの火災報知機の交換作業後、ラック棚に置いてあるタンクに片足をかけたところ、タンクが動いてしまいバランスを崩し高さ40㎝から横向きに転落し、床のレールに頭と腰を打った。,建設業,その他の建設業,電気通信工事業,30～49人,その他の装置等,その他の装置、設備,その他の装置、設備,墜落、転落,43
30,5,14～15,倉庫からトラックに金物を積み込む際に、金物がバラバラになり落下し、右足甲を負傷した。,建設業,建築工事業,その他の建築工事業,1～9人,物質、材料,材料,金属材料,飛来、落下,61
30,5,9～10,足場解体作業中、3.5m上にいた作業員が約1.8m、約4.5㎏の手すりを地上にいる被災者に受け渡しをしようとしたとき、手を滑らせパイプが約3mの高さから落下、被災者の額に当該パイプが当たり受傷した。,建設業,建築工事業,木造家屋建築工事業,10～29人,物質、材料,材料,金属材料,飛来、落下,23
30,5,8～9,住宅の布基礎の上に積まれた資材の上から布基礎に飛び降り、着地が不完全だったため、足首をひねって一段下の地面に落下した。,建設業,建築工事業,木造家屋建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落,71
30,5,11～12,新築工事にて、2階南面梁上の柱頭で仮設台用アンカーボルト位置確認用の墨出しをする際、手摺の上段と中段の間をくぐり安全帯のフックを外し手摺に掛けようとしたときに、足をひねり5.5m下の1階仮設床鉄筋上に落下し、頭部、左手部を強打した。,建設業,建築工事業,その他の建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,開口部,墜落、転落,50
30,5,13～14,マンション中庭から敷地内斜面で草刈り作業をするために1mほどのフェンスを跨ごうとしたところ、雨で地面が濡れていたために手足ともにすべらせフェンス向こう側の3m下のコンクリート床部分に落下した。,建設業,土木工事業,その他の土木工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,その他の仮設物、建築物、構築物等,墜落、転落,41
30,5,9～10,天台を二人で組み立て作業中、左右の天板を開いて持ち上げて外側を引き出す途中、天板のロックピンが外れて本体と天板の間に頭を挟み被災した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,はさまれ、巻き込まれ,75
30,5,15～16,3tダンプにて砕石を荷降ろし中に、バックホーにて3tダンプアオリを押さえたところ手を挟まれ指先を損傷した。,建設業,土木工事業,土地整理土木工事業,10～29人,動力機械,建設機械等,掘削用機械,はさまれ、巻き込まれ,46
30,5,15～16,一戸建て建設現場で屋根の工事中、3階バルコニーを乗り越え足場に移ろうとした際、足場の隙間から、3階から5mくらい下の足場上に転落し、負傷した。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,23
30,5,14～15,加工場で、作業を終えて移動するとき、釘の打ち忘れに気付き、慌てて手に枠を持ったまま釘を打ったため、左手示指に打ち込んでしまった。,建設業,土木工事業,その他の土木工事業,10～29人,動力機械,一般動力機械,その他の一般動力機械,激突され,71
30,5,10～11,型枠の解体作業中、拭き残しのエンジンオイルがあったため、荷物を持ったまま滑って左膝から縁石にぶつかり骨折した。,建設業,建築工事業,木造家屋建築工事業,1～9人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,作業床、歩み板,転倒,33
30,5,16～17,工事現場周辺市道の草刈り作業を朝から行い、3時頃終了して休憩後安全教育を受講している最中に気分が悪くなり熱中症となった。,建設業,土木工事業,土地整理土木工事業,－,その他,起因物なし,起因物なし,踏み抜き,64
30,5,16～17,工場内にて、精米機の清掃作業を行っていた際、不注意で機械の周りの足場に膝をぶつけて怪我をした。,建設業,その他の建設業,機械器具設置工事業,30～49人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,足場,激突,25
30,5,10～11,倉庫前で昨晩使用した機材の片付けを行っていて、トラックから機械（約40㎏）を2人で降ろす際、呼吸が合わず、右手人差し指を挟んだ。,建設業,その他の建設業,その他の建設業－その他,30～49人,その他の装置等,用具,その他の用具,飛来、落下,33
30,5,10～11,移動のために歩行中、段差につまずき足首をひねった。,建設業,土木工事業,上下水道工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,41
30,5,9～10,会議があるので着替えのために自宅に向かい、途中コンビニに寄り、買い物後に駐車場で倒れ、その後死亡した。,建設業,土木工事業,道路建設工事業,10～29人,その他,起因物なし,起因物なし,その他,47
30,5,2～3,階段を上る際、よそ見をしていたため段を踏み外し、転倒し胸を打った。,建設業,建築工事業,その他の建築工事業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,階段、桟橋,転倒,31
30,5,11～12,住宅新築現場で内部造作中に使用していた、6尺の脚立の2～3段目よりバランスを崩して転落し、壁部より2階床に着地、第一腰椎破裂骨折となる。,建設業,建築工事業,木造家屋建築工事業,1～9人,その他の装置等,用具,はしご等,墜落、転落,69
30,5,10～11,保育所新築工事で、職員トイレ部の掛矢を使用して柱修正作業中に手元が滑り柱の固定作業をいていた被災者の額に掛矢が接触し、額を負傷し11針縫う。,建設業,建築工事業,鉄骨・鉄筋コンクリート造家屋建築工事業,1～9人,その他の装置等,人力機械工具等,手工具,飛来、落下,30
30,5,17～18,作業場で木材を切断中に、切断中の木材が跳ね返り、顔に飛んできて唇を切り歯が折れた。,建設業,建築工事業,木造家屋建築工事業,1～9人,動力機械,木材加工用機械,丸のこ盤,激突され,43
