年,月,発生時間,災害状況,業種_大分類,業種_中分類,業種_小分類,事業場規模,起因物_大分類,起因物_中分類,起因物_小分類,事故の型,年齢,年代
H28,10,9～10,工場内の通路において、ごみを捨てて作業場所に戻ろうとした被災者が、製品を仮置きして後退しようとしたフォークリフトの後ろを急いで横切ろうとしたものの、近づいてきたフォークリフトを避け切れず、尻もちをついたところに気づかずフォークリフトが後退し、左後輪が被災者の左脛を圧迫するように接触した。,製造業,木材・木製品製造業,合板製造業,30～49人,物上げ装置、運搬機械,動力運搬機,フォークリフト,激突され,55,50代
H28,10,13～14,トラック荷下作業でトラック荷台の上で2人で荷下しする際に、約2mほどのプラスチックパイプ20～30本、約40kgをPPバンドで結束されてる製品を持ち上げる際に結束バンドが切れてしまい、持ち上げた勢いでそのまま地面にトラック荷台から墜落した。,製造業,化学工業,プラスチック製品製造業,30～49人,物上げ装置、運搬機械,動力運搬機,トラック,墜落、転落,48,40代
H28,10,17～18,工場内において、チッパー機にベルトコンベアで送り込まれる端材が多いと思い、つまるかもしれないと思い、端材の間隔をあけようと思わず手を出してしまい、端材に左手人差し指を挟んでしまった。,製造業,木材・木製品製造業,製材業,30～49人,物質、材料,材料,木材、竹材,はさまれ、巻き込まれ,40,40代
H28,10,9～10,作業場内に於いて、切断加工終了の銅板を天井クレーンで立掛け置場へ移動し降ろし始めた時、置場仕切りバーへ銅板が接触しクランプより外れ、鋼材置場外側で操作していた被災者側へ鋼材が倒れてきた。慌てて逃げようとした際、鋼材に接触、転倒し、左大腿部を踏み台に強打し骨折した。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,その他の装置等,用具,はしご等,墜落、転落,37,30代
H28,10,15～16,残留部材の入庫作業中、未整備置き場に部材を卸す際、タコ足治具から外した部材が崩れ、崩れた部材が安全靴の金具の切れたところにぶつかり、左足小指の第2関節を骨折した。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,物質、材料,材料,金属材料,飛来、落下,48,40代
H28,10,9～10,鉄筋の加工作業場にて足のバランスを崩し、鉄筋の角に触れ左腕内側を負傷した。,製造業,金属製品製造業,その他の金属製品製造業,1～9人,物質、材料,材料,金属材料,激突,24,20代
H28,10,10～11,作業場内にてコンクリート製品の修正作業を行っていた。作業の途中、他の作業者がリフトを運転して被災者の背後からコンクリート製品を搬入してきた際、リフトのつめ部分が左足ふくらはぎ部分に当たり、コンクリート製品とつめ部分に挟まれ負傷した。,製造業,窯業土石製品製造業,セメント・同製品製造業,10～29人,物上げ装置、運搬機械,動力運搬機,トラック,激突され,48,40代
H28,10,15～16,自動車用ガラスへの部品組付作業工程にてプライマーを塗り終えたので、ガラスを両手で持ち、隣の台に移そうとした時、作業手順とは異なるガラスの持ち方をしていた為、滑り止めが付いている作業台にガラス右端がひっかかり、落としそうになったので、左手に力が入り左手首をひねってしまった。,製造業,輸送用機械等製造業,自動車・同付属品製造業,30～49人,荷,荷,機械装置,動作の反動、無理な動作,20,20代
H28,10,2～3,クリーンルームで、廃油処理の作業中、廃液タンク内で液が沸騰し、吹き出した液を浴びて熱傷を負った。,製造業,電気機械器具製造業,その他の電気機械器具製造業,100～299人,物質、材料,危険物、有害物等,爆発性の物等,有害物等との接触,28,20代
H28,10,9～10,機械部曲げ場において、ベンディングマシンを使用しての曲げ加工時、鉄のワークを支える手の位置の確認を怠り、ワークと上型との間に挟んでしまい、右手中指を負傷した。,製造業,金属製品製造業,その他の金属製品製造業,30～49人,動力機械,金属加工用機械,その他の金属加工用機械,はさまれ、巻き込まれ,50,50代
H28,10,13～14,倉庫シャッター付近で積込対象品の最終確認作業を実施する為に、同場所で保管していた2段積みワイヤーバスケットの下段のワイヤーバスケットのふたを開けた事により、上段のワイヤーバスケットが重量に耐えきれずバランスを崩して落下し、被災者の頭部及び左胸、左ひざに接触し、その反動で地面に倒れた。,製造業,化学工業,無機・有機化学工業製品製造業,100～299人,荷,荷,荷姿の物,崩壊、倒壊,48,40代
H28,10,14～15,ホテルの男子寮へクリーニングした布団を届け、回収へ行った際に、平面を歩行中に転倒した。その際に床に体を打ち、負傷した。,製造業,その他の製造業,クリーニング業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,通路,転倒,52,50代
H28,10,15～16,鋼板の溶断作業終了後、製品を取り出し残ったスクラップ残を細かく切断中に不安定な所があったので、素手で直そうとし、手から滑って足に落としてしまった。,製造業,金属製品製造業,その他の金属製品製造業,10～29人,物質、材料,材料,金属材料,飛来、落下,67,60代以上
H28,10,16～17,木工工場内で丸のこ昇降盤にてコンパネを切断する際、300mm丸のこ刃で長さ180cmコンパネを270mm巾にて切断していた。作業中、何かのはずみで250ｍｍ丸のこ刃に右手中指の内側を接触させてしまい負傷した。,製造業,輸送用機械等製造業,造船業,10～29人,動力機械,木材加工用機械,丸のこ盤,切れ、こすれ,61,60代以上
H28,10,11～12,給食を配達するために、他の者2名と3.5tトラックに同乗して向かった。搬入口にトラックをつけた後、外の踊り場の上で安全靴に履きかえて、トラック荷台に向かおうとしたところ、足を踏み外して1.1m下の地面に墜落した。,製造業,食料品製造業,その他の食料品製造業,10～29人,仮設物、建築物、構築物等,仮設物、建築物、構築物等,建築物、構築物,墜落、転落,67,60代以上
H28,10,14～15,構内の安全パトロール終了後、工場の外、1階部分でヘルメット未装着でフォークリフトに乗り作業をしている人がいたので近くに行き注意をしていた所、突然フォークリフトが動き、左足をタイヤで踏まれた。,製造業,非鉄金属製造業,非鉄金属鋳物業,100～299人,物上げ装置、運搬機械,動力運搬機,トラック,はさまれ、巻き込まれ,38,30代
H28,10,16～17,作業場で、機械を掃除中、まわっているベルトコンベアに右手がはさまり、負傷した。,製造業,食料品製造業,水産食料品製造業,10～29人,物上げ装置、運搬機械,動力運搬機,コンベア,はさまれ、巻き込まれ,68,60代以上
H28,10,9～10,調理場の中で、野菜をゆでた後、ゆでた釜を洗い、釜の下の側溝を洗う際、グレーチングを上げよせる時に、隣のグレーチングとの間に指を挟めた。,製造業,食料品製造業,その他の食料品製造業,1～9人,物質、材料,材料,金属材料,はさまれ、巻き込まれ,50,50代
